athleteID,name,position,draftInfo,team,receptions,receiving_yards,receiving_td,solo_tackles,forced_fumbles,interceptions,passed_defended,rush_att,rush_yds,rush_td,sacks,passing_yards,passing_td
3126179,Matthew Adams,LB,"2018: Rd 7, Pk 221 (IND)",CLE,0,0,0,17,1,0,0,0,0,0,0,0,0
3918298,Josh Allen,QB,"2018: Rd 1, Pk 7 (BUF)",BUF,0,0,0,0,0,14,0,0,0,0,0,"4,283",35
3115293,Kyle Allen,QB,undrafted,BUF,0,0,0,0,0,4,0,0,0,0,0,416,2
3915507,Jerome Baker,LB,"2018: Rd 3, Pk 73 (MIA)",MIA,0,0,0,66,1,0,0,0,0,0,4,0,0
3929630,Saquon Barkley,RB,"2018: Rd 1, Pk 2 (NYG)",NYG,0,0,0,0,0,0,0,295,"1,312",10,0,0,0
3919512,Jessie Bates III,S,"2018: Rd 2, Pk 54 (CIN)",ATL,0,0,0,0,0,0,8,0,0,0,0,0,0
3116187,Ja'Whaun Bentley,LB,"2018: Rd 5, Pk 143 (NE)",NE,0,0,0,62,0,0,0,0,0,0,3,0,0
3123075,Braxton Berrios,WR,"2018: Rd 6, Pk 210 (NE)",MIA,18,145,0,0,0,0,0,0,0,0,0,0,0
3060403,Chris Board,LB,undrafted,NE,0,0,0,17,1,0,0,0,0,0,0,0,0
3139033,Mike Boone,RB,undrafted,HOU,0,0,0,0,0,0,0,24,102,0,0,0,0
3045169,Tim Boyle,QB,undrafted,NYJ,0,0,0,0,0,2,0,0,0,0,0,33,0
3051746,Oren Burks,LB,"2018: Rd 3, Pk 88 (GB)",SF,0,0,0,15,0,0,0,0,0,0,0.5,0,0
3915097,Antonio Callaway,WR,"2018: Rd 4, Pk 105 (CLE)",DAL,2,20,0,0,0,0,0,0,0,0,0,0,0
3128715,Lorenzo Carter,LB,"2018: Rd 3, Pk 66 (NYG)",ATL,0,0,0,29,0,0,0,0,0,0,4,0,0
3125287,Andre Chachere,S,undrafted,PHI,0,0,0,0,0,0,0,0,0,0,0,0,0
3115394,DJ Chark,WR,"2018: Rd 2, Pk 61 (JAX)",CAR,30,502,3,0,0,0,0,0,0,0,0,0,0
3116733,Bradley Chubb,LB,"2018: Rd 1, Pk 5 (DEN)",MIA,0,0,0,20,3,0,0,0,0,0,8,0,0
